"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Ayer Hitam","","","","","",""
"Pusat Dialisis Perbadanan Islam Johor (Ayer Hitam), HD Unit","PRIVATE","MOHD ANDALAS PUTRA BIN MOHAMED ISMAIL;","","","",""
"","","","Pusat Dialisis Perbadanan Islam Johor
(Insist Amilat Sdn Bhd)
No. 17 & 19, Jln Bandar Baru 8
Pusat Bandar Baru Ayer Hitam  86100 Ayer Hitam  Johor Darul Takzim  MALAYSIA","Pusat Dialisis Perbadanan Islam Johor (Ayer Hitam), HD Unit","011-11467893","admin@insistamilat.com.my"
"Bandar Tenggara","","","","","",""
"Pusat Hemodialisis Impian Bandar Tenggara, HD Unit","PRIVATE","AB JABAR BIN ISHAK;","","","",""
"","","","Pusat Hemodialisis Impian Bandar Tenggara
No. 3 & 5 Jalan Impian 1/1,
Taman Desa Impian  81440 Bandar Tenggara  Johor Darul Takzim  MALAYSIA","Pusat Hemodialisis Impian Bandar Tenggara, HD Unit","017-7005181","impianbt.hd@gmail.com"
"Pusat Hemodialisis Nour Hannan, HD Unit","PRIVATE","ABDUL HANAN BIN NAMAT;","","","",""
"","","","Pusat Hemodialisis Nour Hannan
No. 70, 71 & 72, Jalan Anggerik 3/1
Taman Anggerik Tenggara  81440 Bandar Tenggara  Johor Darul Takzim  MALAYSIA","Pusat Hemodialisis Nour Hannan, HD Unit","07-8963411","nourhannanhaemodialisis@gmail.com"
"Batu Pahat","","","","","",""
"Hospital Sultanah Nora Ismail, CAPD Unit","MOH","LIU WEN JIUN;","","","",""
"","","","Hospital Sultanah Nora Ismail
Jalan Kurma  83000 Batu Pahat  Johor Darul Takzim  MALAYSIA","Hospital Sultanah Nora Ismail, CAPD Unit","074363000  3152",""
"Pantai Hospital Batu Pahat, CAPD Unit","PRIVATE","KEE SWEE ANN;","","","",""
"","","","Pantai Hospital Batu Pahat
3rd Floor, CAPD Unit
9S, Jalan Bintang Satu
Taman Koperasi Bahagia  83000 Batu Pahat  Johor Darul Takzim  MALAYSIA","Pantai Hospital Batu Pahat, CAPD Unit","( 07)4338811  3821 /2529",""
"BP Renal Care (Rengit), HD Unit","PRIVATE","EMA JULIATY BINTI JAMALUDDIN;","","","",""
"","","","BP Renal Care (Rengit) Sdn. Bhd
No.12, Jalan Keembong
Taman Rengit  83100 Batu Pahat  Johor Darul Takzim  MALAYSIA","BP Renal Care (Rengit), HD Unit","( 07)4242200","bprenalcarerengit@yahoo.com"
"BP Renal Care Sdn Bhd (Batu Pahat), HD Unit","PRIVATE","KEE SWEE ANN;","","","",""
"","","","BP Renal Care Sdn Bhd (Batu Pahat)
No.5&5A, 6&6A, 7A, Jalan Salang
Taman Nira  83000 Batu Pahat  Johor Darul Takzim  MALAYSIA","BP Renal Care Sdn Bhd (Batu Pahat), HD Unit","017-3653599","bprenalcare@gmail.com"
"Che Eng Khor Centre, HD Unit","NGO","YEK TIEW TIING;","","","",""
"","","","Che Eng Khor Haemodialysis Centre
No 22 & 23, Jalan Susur
Taman Pantai Baru  83000 Batu Pahat  Johor Darul Takzim  MALAYSIA","Che Eng Khor Centre, HD Unit","( 07)4330088","cheengkor@gmail.com"
"Hospital Sultanah Nora Ismail, HD Unit","MOH","LIU WEN JIUN;","","","",""
"","","","Unit Satelit Haemodialisis
Hospital Sultanah Nora Ismail
Jalan Korma  83000 Batu Pahat  Johor Darul Takzim  MALAYSIA","Hospital Sultanah Nora Ismail, HD Unit","( 07)4363000  3152 /3153",""
