"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Alor Setar","","","","","",""
"Sultanah Bahiyah Hospital, CAPD Unit","MOH","CHING CHEN HUA;","","","",""
"","","","CAPD UnitHospital Sultanah BahiyahKM 6, Jalan Langgar  05460 Alor Setar  Kedah Darul Aman  MALAYSIA","Sultanah Bahiyah Hospital, CAPD Unit","( 04)7406233  7940","Tel (2):"
"Alor Setar Dialysis Centre, HD Unit","PRIVATE","TEH SOO KIM;","","","",""
"","","","Alor Setar Dialysis CentreNo. 300, Jalan Tandop 3Kawasan Perusahaan Tandop Baru  05050 Alor Setar  Kedah Darul Aman  MALAYSIA","Alor Setar Dialysis Centre, HD Unit","( 04)7715193","Fax:"
"Buddhist Tzu-Chi Dialysis Centre (Kedah), HD Unit","NGO","NG WEI SIONG;","","","",""
"","","","Buddhist Tzu-Chi Dialysis Centre (Kedah)(Pertubuhan Buddhist Tzu Chi Merits Malaysia)No. 535A, Jalan PerakKawasan Perindustrian Mergong 2  05350 Alor Setar  Kedah Darul Aman  MALAYSIA","Buddhist Tzu-Chi Dialysis Centre (Kedah), HD Unit","( 04)7323604  101","Fax:"
"Dialisis Dr Zur Sdn Bhd (Cawangan Alor Setar), HD Unit","PRIVATE","SHERLINA BINTI HILMY;","","","",""
"","","","Dialisis Dr Zur Sdn Bhd (Cawangan Alor Setar)No. 8, (Ground & First Floor), Susuran Mas MerahTaman Mas Maju, Titi Gajah  06550 Alor Setar  Kedah Darul Aman  MALAYSIA","Dialisis Dr Zur Sdn Bhd (Cawangan Alor Setar), HD Unit","017-9262100","eNRR"
"Pusat Dialisis Albukhary, HD Unit","PRIVATE","NG WEI SIONG;","","","",""
"","","","Pusat dialysis Albukhary(Energetic Advantage Sdn Bhd)Kompleks AlbukharyJalan Langgar  05460 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Dialisis Albukhary, HD Unit","( 04)7322121","Email:"
"Pusat Dialisis Davita Alor Setar, HD Unit","PRIVATE","NAZIL NUHAIRI BIN ISMAIL;","","","",""
"","","","Pusat Dialisis Davita Alor Setar,No. 17 & 18, Jalan Bistari 1, Taman BistariLebuhraya Sultan Abdul Halim  05400 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Dialisis Davita Alor Setar, HD Unit","( 04)7714644","Fax:"
"Pusat Dialisis Marjina (Ayer Hitam), HD Unit","PRIVATE","ZAKI ZAMANI BIN ABD RASHID;","","","",""
"","","","No 4 Pusat Perniagaan Arowana, Pekan Ayer Hitam, Jerlun  06150 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Dialisis Marjina (Ayer Hitam), HD Unit","( 04)7942581","Email:"
"Pusat Dialisis Marjina, HD Unit","PRIVATE","HABIBAH BINTI ITHNIN;","","","",""
"","","","Pusat Dialisis Marjina Sdn BhdNo. 3 & 4, Lot 320, Bangunan Persatuan Warga BimbinganKM 6, Jalan Langgar  05460 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Dialisis Marjina, HD Unit","( 04)7877013  7042","Tel (2):"
"Pusat Dialisis NKF-Kelab Lions Alor Star, HD Unit","NGO","","","","",""
"","","","Pusat Dialisis NKF-Kelab Lions Alor Star(National Kidney Foundation of Malaysia)No. 96-97, Jalan Kristal 6Taman Perindustrian Ringan Kristal  05150 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Dialisis NKF-Kelab Lions Alor Star, HD Unit","( 04)7352190","Email:"
"Pusat Haemodialisis Dr. Ismail, HD Unit","PRIVATE","NAZIL NUHAIRI BIN ISMAIL;","","","",""
"","","","Pusat Haemodialisis Dr. Ismail Sdn BhdNo. 281-282, Taman Anggerik, Fasa 3Jalan Lencong Barat  05050 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Haemodialisis Dr. Ismail, HD Unit","( 04)7771193","Fax:"
"Pusat Haemodialisis Zakat Kedah, HD Unit","NGO","NAZIL NUHAIRI BIN ISMAIL;","","","",""
"","","","Pusat Haemodialisis Zakat Kedah(Pertubuhan Haemodialisis Zakat Kedah)Aras Bawah, Menara ZakatJalan Telok Wanjah  05200 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Haemodialisis Zakat Kedah, HD Unit","( 04)7306275","Fax:"
"Pusat Hemodialisis Mergong, HD Unit","PRIVATE","ROASHRI NOR B NORDIN;","","","",""
"","","","Pusat Hemodialisis MergongNo. 67, Jalan Shahab 7Kompleks Shahab Perdana  05150 Alor Setar  Kedah Darul Aman  MALAYSIA","Pusat Hemodialisis Mergong, HD Unit","( 04)7351581","Email:"
