"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Bachok","","","","","",""
"Pusat Dialisis Ar Rahman Bachok Kelantan, HD Unit","NGO","AHMAD MUHAIMIN BIN MUSTAPHA;","","","",""
"","","","Pusat Dialisis Ar Rahman Bachok Kelantan(We-1 Medic Sdn Bhd)Lot 747, 748 & 749, Komplek PerniagaanBeris Kubor Besar  16050 Bachok  Kelantan Darul Naim  MALAYSIA","Pusat Dialisis Ar Rahman Bachok Kelantan, HD Unit","(018)7694424","09-7644424"
"Pusat Hemodialisis Paduka (Bachok), HD Unit","PRIVATE","ROONALIZA MERICAN BINTI ABDUL RAHIM MERICAN;","","","",""
"","","","Pusat Hemodialisis Paduka(Al-Mardhiyyah Ros Management Sdn Bhd)Lot 2635, Kedai Gunung  16090 Bachok  Kelantan Darul Naim  MALAYSIA","Pusat Hemodialisis Paduka (Bachok), HD Unit","09-7831177","09-7831115"
"Gua Musang","","","","","",""
"Gua Musang Hospital, HD Unit","MOH","WAN HASNUL HALIMI BIN WAN HASSAN;","","","",""
"","","","Haemodialysis UnitHospital Gua Musang  18300 Gua Musang  Kelantan Darul Naim  MALAYSIA","Gua Musang Hospital, HD Unit","( 09)9133328","( 09)9133300  3328"
"Pusat Dialisis Mahmood Dialysis Centre Gua Musang, HD Unit","PRIVATE","MOHD SYAIFUL JOHAN BIN MAHMOOD;","","","",""
"","","","Pusat Dialisis Mahmood Dialysis Centre Gua MusangPT 9309 Bangunan KPSBBandar Baru Gua Musang  18300 Gua Musang  Kelantan Darul Naim  MALAYSIA","Pusat Dialisis Mahmood Dialysis Centre Gua Musang, HD Unit","09-9121177","09-9121477"
"Unit Dialisis Komuniti Chiku 3, HD Unit","MOH","MOHAMMAD FAHMIE BIN AHMAD TAKRI;","","","",""
"","","","Unit Dialisis Komuniti Chiku 3  18300 Gua Musang  Kelantan Darul Naim  MALAYSIA","Unit Dialisis Komuniti Chiku 3, HD Unit","09-9287482","09-9287481"
"Jeli","","","","","",""
"Jeli Hospital, HD Unit","MOH","WAN HASNUL HALIMI BIN WAN HASSAN;","","","",""
"","","","Haemodialysis UnitHospital Jeli  17600 Jeli  Kelantan Darul Naim  MALAYSIA","Jeli Hospital, HD Unit","( 09)9443300  3340","( 09)9440092  3340"
"Ketereh","","","","","",""
"Pusat Dialisis Ar Rahman Ketereh, HD Unit","PRIVATE","KHAIRUL AFNAN BIN KHALID;","","","",""
"","","","Pusat Dialisis Ar Rahman KeterehLot 1239, Grd Flr & 1st FlrRumah Kedai Ketereh  16450 Ketereh  Kelantan Darul Naim  MALAYSIA","Pusat Dialisis Ar Rahman Ketereh, HD Unit","09-7884424","017-7664424"
"Kok Lanas","","","","","",""
"Pusat Dialisis Al-Ehsan (Cawangan Kok Lanas), HD Unit","PRIVATE","AFIF BIN MOHD RIDZWAN;","","","",""
"","","","PT 5078 (Tingkat Bawah) & 5078 (Tingkat Bawah & Tingkat Satu)Kompleks Perniagaan Saidina AliKok Lanas, Ketereh  16450 Kok Lanas  Kelantan Darul Naim  MALAYSIA","Pusat Dialisis Al-Ehsan (Cawangan Kok Lanas), HD Unit","011-64639303","09-7889303"
"Kota Bharu","","","","","",""
"Raja Perempuan Zainab II Hospital, CAPD Unit","MOH","WAN HASNUL HALIMI BIN WAN HASSAN;","","","",""
"","","","CAPD UnitHospital Raja Perempuan Zainab II  15586 Kota Bharu  Kelantan Darul Naim  MALAYSIA","Raja Perempuan Zainab II Hospital, CAPD Unit","( 09)7452555","( 09)7452235"
"Al-Musoffa Haemodialysis Centre, HD Unit","PRIVATE","WAN MOHAMAD NOOR BIN WAN AHMAD;","","","",""
