"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Alor Gajah","","","","","",""
"Alor Gajah Dialysis Centre, HD Unit","PRIVATE","KHAIRUL AMIN BIN AWANG;","","","",""
"","","","Alor Gajah Dialysis Centre(Embun Budiman Sdn Bhd)MP 54, Jalan Pengkalan Indah Utama Taman Pengkalan Indah Fasa II  78000 Alor Gajah  Melaka  MALAYSIA","Alor Gajah Dialysis Centre, HD Unit","( 06)5566272","( 06)5560584"
"Alor Gajah Hospital, HD Unit","MOH","PENG BAN CHAI;","","","",""
"","","","Haemodialysis UnitAlor Gajah Hospital  78000 Alor Gajah  Melaka  MALAYSIA","Alor Gajah Hospital, HD Unit","( 06)552333  133","( 06)5565354"
"Pusat Hemodialisis Sinar Haemodialysis, HD Unit","PRIVATE","RAMLI BIN HJ MAT;","","","",""
"","","","Pusat Hemodialisis Sinar Haemodialysis Sdn Bhd(Cawangan Alor Gajah)No. 23 & 24, Jalan Sungai Petai Permai 1 UtamaTaman Sungai Petai Permai  78000 Alor Gajah  Melaka  MALAYSIA","Pusat Hemodialisis Sinar Haemodialysis, HD Unit","( 06)5564889","( 06)5564402"
"Pusat Hemodialisis Suria (Tampin), HD Unit","PRIVATE","KUMARESAN A/L SELLAMUTHU;","","","",""
"","","","Pusat Hemodialisis Suria (Tampin)PS-2 (Tingkat Bawah) & PS-3 (Tingkat Bawah),Jalan Bandar Satelit Sebang 2,Bandar Satelit Sebang  78000 Alor Gajah  Melaka  MALAYSIA","Pusat Hemodialisis Suria (Tampin), HD Unit","012-2563482","Mr. KUMARESAN A/L SELLAMUTHU"
"Pusat Rawatan Hemodialisis Simpang Empat Dialysis Centre, HD Unit","PRIVATE","KHAIRUL AMIN BIN AWANG;","","","",""
"","","","Pusat Rawatan Hemodialisis Simpang Empat Dialysis Centre, HD Unit65, 65-1, 66, 66-1 & 67, Jalan BBSE 3,Pusat Bandar Baru Simpang Empat,  78000 Alor Gajah  Melaka  MALAYSIA","Pusat Rawatan Hemodialisis Simpang Empat Dialysis Centre, HD Unit","06-5511919","Dr. KHAIRUL AMIN BIN AWANG"
"SJAM-KPS Pusat Hemodialisis Pulau Sebang (Station 9), HD Unit","NGO","","","","",""
"","","","SJAM-KPS Pusat Hemodialisis Pulau Sebang (Station 9)PS 100 & 100-1 (Ground Floor and First Floor) & 101 (Ground Floor)Jalan Bandar Satelit Sebang 4,Bandar Satelit Seksyen 1  78000 Alor Gajah  Melaka  MALAYSIA","SJAM-KPS Pusat Hemodialisis Pulau Sebang (Station 9), HD Unit","06-4416695","-"
"Batu Berendam","","","","","",""
"Pusat Dialisis Davita Batu Berendam, HD Unit","PRIVATE","TAN ZI JUN;","","","",""
"","","","Pusat Dialisis Davita Batu BerendamLot 59, 61 & 63, Jalan MP1Taman Merdeka Permai  75350 Batu Berendam  Melaka  MALAYSIA","Pusat Dialisis Davita Batu Berendam, HD Unit","06-3340708","Dr. TAN ZI JUN"
"Bukit Baru","","","","","",""
"Pusat Hemodialysis Suria Melaka, HD Unit","PRIVATE","SELVA KUMARAN A/L PERUMAL;","","","",""
"","","","Pusat Hemodialysis Suria MelakaNo. 37-G & 37-G, Kompleks Perniagaan Al-AzimJalan KPAA 2, Bandar Bukit Baru  75150 Bukit Baru  Melaka  MALAYSIA","Pusat Hemodialysis Suria Melaka, HD Unit","( 06)2813727","( 06)2813728"
"Bukit Piatu","","","","","",""
"Pusat Dialisis Nephrocare (Bukit Piatu), HD Unit","PRIVATE","YEW SHIONG SHIONG;","","","",""
"","","","Pusat Dialisis Nephrocare (Bukit Piatu)No. 15 & 17, Jln BPM 14Taman Bukit Piatu Mutiara  75150 Bukit Piatu  Melaka  MALAYSIA","Pusat Dialisis Nephrocare (Bukit Piatu), HD Unit","06-2925517","06-2925534"
"Jasin","","","","","",""
"Jasin Hospital, HD Unit","MOH","PENG BAN CHAI;","","","",""
"","","","Haemodialysis UnitHospital Jasin  77000 Jasin  Melaka  MALAYSIA","Jasin Hospital, HD Unit","( 06)5294262  300 /301","( 06)5291652"
"Nephcare Dialysis Centre (Selandar), HD Unit","PRIVATE","HANIF HILMAN BIN ROSLAN;","","","",""
"","","","Nephcare Dialysis Centre (Selandar)JB 9730A & JB 9730B, Mukim Selandar  77500 Jasin  Melaka  MALAYSIA","Nephcare Dialysis Centre (Selandar), HD Unit","06-5302966","06-3124482"
"Pusat Hemodialisis Harmoni Hemodialisis (Cawangan Jasin), HD Unit","PRIVATE","","","","",""
"","","","Pusat Hemodialisis Harmoni Hemodialisis (Cawangan Jasin)No. JC2369 & JC2369-1Jalan PPJ 3, Pusat Perniagaan Jasin  77000 Jasin  Melaka  MALAYSIA","Pusat Hemodialisis Harmoni Hemodialisis (Cawangan Jasin), HD Unit","06-5296812","019-6471804"
"Sinar Haemodialysis Sdn Bhd (Jasin, Melaka), HD Unit","PRIVATE","NUR AFIKAH BTE MD SA'EE;","","","",""
"","","","Sinar Haemodialysis Sdn Bhd (Jasin, Melaka)JC 2440 & JC 2441, Jalan BH 1Taman Bemban Height  77200 Jasin  Melaka  MALAYSIA","Sinar Haemodialysis Sdn Bhd (Jasin, Melaka), HD Unit","06-5341555","06-5341515"
"Tenang Haemodialysis Jasin, HD Unit","PRIVATE","MOHAMAD SUHAIMI BIN MOHAMAD UDA TENANG;","","","",""
