"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Bahau","","","","","",""
"NSCMH Dialysis Care Cawangan Bahau, HD Unit","NGO","PAUL PARIMANAM A/L SEGAJANTHAM;","","","",""
"","","","NSCMH Dialysis Care Cawangan BahauLot 57, 58 & 59, Jalan Kiara 2Pusat Perniagaan Kiara  72100 Bahau  Negeri Sembilan Darul Khusus  MALAYSIA","NSCMH Dialysis Care Cawangan Bahau, HD Unit","011-16597288","06-4290292"
"Pusat Dialisis Mukmin Bahau, HD Unit","PRIVATE","ROSLY BIN MUSTAFFA;","","","",""
"","","","Pusat Dialisis Mukmin BahauNo PT 3349-G, PT 3350-G dan PT 3351-1, Jalan Medang UtamaTaman Medang  72100 Bahau  Negeri Sembilan Darul Khusus  MALAYSIA","Pusat Dialisis Mukmin Bahau, HD Unit","06-4540774",""
"Pusat Hemodialisis Harmoni Hemodialisis (Cawangan Bahau), HD Unit","PRIVATE","HARKERITH KANDA A/P B.RANJINDER SINGH KANDA;","","","",""
"","","","Pusat Hemodialisis Harmoni Hemodialisis (Cawangan Bahau)No. 39-G, 40-G & 40-1, Jalan Komersial Bahau 1,Pusat Komersial Bahau  72100 Bahau  Negeri Sembilan Darul Khusus  MALAYSIA","Pusat Hemodialisis Harmoni Hemodialisis (Cawangan Bahau), HD Unit","01169880497","012-4937723"
"Bandar Enstek","","","","","",""
"Pusat Hemodialisis An Nur Hemodialysis Sdn. Bhd., HD Unit","PRIVATE","","","","",""
"","","","Pusat Hemodialisis An Nur Hemodialysis Sdn. Bhd.No. 76 & 76-1 Jalan Timur 6/2D, Enstek  71760 Bandar Enstek  Negeri Sembilan Darul Khusus  MALAYSIA","Pusat Hemodialisis An Nur Hemodialysis Sdn. Bhd., HD Unit","06-7991846",""
"Bandar Seri Jempol","","","","","",""
"Dkasih Hemodialisis (Jempol), HD Unit","PRIVATE","NURUL'AZAM BINTI MOHAMED;","","","",""
