"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Bandar Bera","","","","","",""
"Hospital Bera, HD Unit","MOH","NURZULIANA BINTI ZULKARNAIN;","","","",""
"","","","Hospital BeraJalan Majlis  28200 Bandar Bera  Pahang Darul Makmur  MALAYSIA","Hospital Bera, HD Unit","09-2509679","nefrologyhosber@gmail.com"
"Bandar Jengka","","","","","",""
"Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang (Cawangan Jengka), HD Unit","PRIVATE","MOHD ALI HANAFIAH BIN MAT SO'AD;","","","",""
"","","","Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang (Cawangan Jengka)No. 7, 8 & 9 Lorong TJ/1,Taman Jengka Indah  26400 Bandar Jengka  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang (Cawangan Jengka), HD Unit","09-4661615","dialisismuip.jengka@gmail.com"
"Bentong","","","","","",""
"Bentong Hospital, CAPD Unit","MOH","MOHD KAMIL BIN AHMAD;","","","",""
"","","","CAPD UnitHospital Bentong  28700 Bentong  Pahang Darul Makmur  MALAYSIA","Bentong Hospital, CAPD Unit","( 09)2223333  147","capdbentong@gmail.com"
"Bentong Hospital, HD Unit","MOH","TEH HENG YAP;","","","",""
"","","","Haemodialysis UnitHospital Bentong  28700 Bentong  Pahang Darul Makmur  MALAYSIA","Bentong Hospital, HD Unit","( 09)2223333  127 / 146","suzainizainol938@gmail.com"
"Pusat Hemodialisis Fomema Haemodialysis Bentong, HD Unit","PRIVATE","MOHD IKHWAN BIN MOHD RADZI;","","","",""
"","","","Pusat Hemodialisis Fomema Haemodialysis BentongNo. 33-1 & 35-1, Jalan One BentongPusat Komersial Bentong  28700 Bentong  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Fomema Haemodialysis Bentong, HD Unit","010-2743177","fh.bentong@fomemadialysis.com.my"
"Pusat Hemodialysis Suria (Bentong), HD Unit","PRIVATE","LIEW JIA SHIAN;","","","",""
"","","","Pusat Hemodialysis (Bentong)(Kumar Urology & Stone Centre Sdn Bhd)Plot 5, Ground Floor (TBP)Pusat Perniagaan Ketari  28700 Bentong  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialysis Suria (Bentong), HD Unit","(016)6618665","suriabentong@yahoo.com"
"Pusat Perubatan Dialisis (Bentong), HD Unit","PRIVATE","RAFIDAH BINTI RAHMAT;","","","",""
"","","","No. P75-G & P76-G, Jalan Prima 2Pusat Komersial Bentong Prima  28700 Bentong  Pahang Darul Makmur  MALAYSIA","Pusat Perubatan Dialisis (Bentong), HD Unit","09-2221174","ppdbentong0522@gmail.com"
"Bera","","","","","",""
"Pusat Hemodialisis Suria (Bera), HD Unit","PRIVATE","MUHAMMAD ZAFRI BIN ZAINUDDIN;","","","",""
"","","","Pusat Hemodialisis Suria (Bera)No. 20 & 22 GF, Jalan Kempas Jaya 1Taman Kempas Jaya, Kerayong  28200 Bera  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Suria (Bera), HD Unit","019-2390325","suriabera@yahoo.com"
"Cameron Highlands","","","","","",""
"Hospital Sultanah Hajjah Kalsom, HD Unit","MOH","SAMUEL RAJ A/L VASUDAYAN;","","","",""
"","","","Hemodialisis UnitHospital Sultanah Hajjah KalsomJalan Persiaran Dayang Endah, Tanah Rata  39000 Cameron Highlands  Pahang Darul Makmur  MALAYSIA","Hospital Sultanah Hajjah Kalsom, HD Unit","( 05)4913333  1431","hducameron@gmail.com"
"Jengka","","","","","",""
"Jengka Hospital, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Haemodialysis UnitJengka Hospital  26400 Jengka  Pahang Darul Makmur  MALAYSIA","Jengka Hospital, HD Unit","( 09)4662333  259","mohdniazhan@yahoo.com"
"Pusat Hemodialisis Suria (Jengka), HD Unit","PRIVATE","KHAIRUL AZHAR BIN JAAFAR;","","","",""
"","","","Pusat Hemodialisis Suria (Jengka)No. 62 & 63G, Jalan Baiduri 5Pusat Komersial Bandar Jengka Nadi KotaBandar Tun Razak Jengka  26400 Jengka  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Suria (Jengka), HD Unit","( 09)4661737","suriajengka@gmail.com"
"Jerantut","","","","","",""
"Jerantut Hospital, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Haemodialysis UnitHospital Jerantut  27000 Jerantut  Pahang Darul Makmur  MALAYSIA","Jerantut Hospital, HD Unit","( 09)2663333  2501","hspjer@phg.moh.gov.my"
"Pusat Hemodialisis Suria (Jerantut), HD Unit","PRIVATE","ZAKARIA BIN ABD RAHMAN;","","","",""
"","","","Pusat Hemodialisis Suria (Jerantut)(Kumar Urology & Stone Centre Sdn Bhd)Lot 9056 (Mukim Pedah)No. 23 & 25 (Tingkat Bawah)Jalan Pine 1, Taman Pine  27000 Jerantut  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Suria (Jerantut), HD Unit","( 09)3011094","suria.jerantut@gmail.com"
"Pusat Hemodialisis Yayasan Al-Sultan Abdullah (YASA) Jerantut, HD Unit","PRIVATE","SYED MUHAMMAD SYAMIM BIN SYED ABDUL AZIZ;","","","",""
"","","","Pusat Hemodialisis Yayasan Al-Sultan Abdullah (YASA) JerantutNo. 1, Tingkat Bawah & Tingkat 1Loring IP 1, Taman Impian Permai  26400 Jerantut  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Yayasan Al-Sultan Abdullah (YASA) Jerantut, HD Unit","019-9868140","jerantut@yasadialysis.com.my"
"Quality Dialysis Care (Jerantut), HD Unit","PRIVATE","ZAKARIA BIN ABD RAHMAN;","","","",""
"","","","Quality Dialysis Care Sdn BhdNo. 6, Lorong Alamanda 1Taman Alamanda  27000 Jerantut  Pahang Darul Makmur  MALAYSIA","Quality Dialysis Care (Jerantut), HD Unit","(016)2267681","cdc.jrtt@gmail.com"
"Karak","","","","","",""
"Pusat Hemodialisis Suria (Karak), HD Unit","PRIVATE","UMANAGENDRI A/P SANTANA DEVAN;","","","",""
"","","","Pusat Hemodialisis Suria (Karak)No. 16-G & 16-IJalan Besar Daerah Bentong  28600 Karak  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Suria (Karak), HD Unit","012-6693491","suriakarak2021@gmail.com"
"Kuala Krau","","","","","",""
"Pusat Hemodialisis Suria (Kuala Krau), HD Unit","PRIVATE","NURUL FARAHIDAH BINTI ALIAS;","","","",""
"","","","Pusat Hemodialisis Suria (Kuala Krau)No. 39-G, Jalan MewahTaman Mewah  28050 Kuala Krau  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Suria (Kuala Krau), HD Unit","012-3722532","hdsuriakualakrau@gmail.com"
"Kuala Lipis","","","","","",""
"Kuala Lipis Hospital, CAPD Unit","MOH","","","","",""
"","","","Kuala Lipis Hospital, CAPD Unit  27200 Kuala Lipis  Pahang Darul Makmur  MALAYSIA","Kuala Lipis Hospital, CAPD Unit","09-3123333  157","capdlipis@gmail.com"
"Kuala Lipis Hospital, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Haemodialysis UnitHospital Kuala Lipis  27200 Kuala Lipis  Pahang Darul Makmur  MALAYSIA","Kuala Lipis Hospital, HD Unit","( 09)3123333  130","hdukualalipis@gmail.com"
"Pusat Dialisis Mukmin Kuala Lipis, HD Unit","PRIVATE","SUGUMAR A/L K PALANIYANDY;","","","",""
"","","","Pusat Dialisis Mukmin Kuala LipisNo.47-G. 47-1, 48-G & 49-GJalan PPBR 3/4, Pusat Perniagaan Bukit Residen  27200 Kuala Lipis  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Mukmin Kuala Lipis, HD Unit","017-5631151","pdmkualalipis@gedungpenawar.com"
"Unit Hemodialisis Sungai Koyan, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Unit Hemodialisis Sungai Koyan, HD Unit(Cawangan Hospital Kuala Lipis)Blok B Klinik Kesihatan Sungai Koyan  27200 Kuala Lipis  Pahang Darul Makmur  MALAYSIA","Unit Hemodialisis Sungai Koyan, HD Unit","09-3401195","hdusgkoyan@gmail.com"
"Kuala Rompim","","","","","",""
"YKN Dialisis Rompin, HD Unit","NGO","MOHD SAYUTI BIN ABU BAKAR;","","","",""
"","","","YKN Dialisis RompinJalan Rhu, Pantai Hiburan  26800 Kuala Rompim  Pahang Darul Makmur  MALAYSIA","YKN Dialisis Rompin, HD Unit","( 09)4140230","ykn_rompin@yahoo.com"
"Kuala Rompin","","","","","",""
"Pusat Hemodialisis Suria (Kuala Rompin), HD Unit","PRIVATE","MOHD FEISAL BIN ABD MAJID;","","","",""
"","","","Pusat Hemodialisis Suria (Kuala Rompin)No. 13-G, Jalan Sentosa 1Taman Sentosa  26800 Kuala Rompin  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Suria (Kuala Rompin), HD Unit","012-3372302","hdsuriakualarompin@gmail.com"
"Kuantan","","","","","",""
"Tengku Ampuan Afzan Hospital (Paed), CAPD Unit","MOH","SELVA KUMAR A/L SIVAPUNNIAM;","","","",""
"","","","Unit CAPD HTAA Kuantan (Paed)Hospital Tengku Ampuan AfzanJalan Tanah Putih  20400 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital (Paed), CAPD Unit","( 09)5572467","-"
"Tengku Ampuan Afzan Hospital, CAPD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Unit CAPD HTAA Kuanta (Adult)Tengku Ampuan Afzan HospitalJalan Tanah Putih  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital, CAPD Unit","( 09)5572467  2119 /2467","-"
"Al-Musoffa Haemodialysis Centre (Balok) Sdn Bhd, HD Unit","PRIVATE","KHAIRUL AZHAR BIN JAAFAR;","","","",""
"","","","Al-Musoffa Haemodialysis Centre (Balok) Sdn BhdNo. 52, Taman Cahaya,Seberang Balok,Jalan Kuantan-Kemaman  26100 Kuantan  Pahang Darul Makmur  MALAYSIA","Al-Musoffa Haemodialysis Centre (Balok) Sdn Bhd, HD Unit","09-5093868","almusoffahaemodialysisbalok@gmail.com"
"IIUM Dialysis Centre, HD Unit","PRIVATE","CHE ROSLE BIN DERAMAN;","","","",""
"","","","IIUM Dialysis CentreLot Pt 50748HSD 16480 AtabaraBandar Indera Mahkota  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","IIUM Dialysis Centre, HD Unit","09-5701445","nazlinasnam@gmail.com"
"Klinik Kesihatan Sungai Lembing, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Unit HemodialisisKlinik Kesihatan Sungai LembingJalan Batu 4 1/2, Sungai Lembing  26200 Kuantan  Pahang Darul Makmur  MALAYSIA","Klinik Kesihatan Sungai Lembing, HD Unit","( 09)5411054","hemodialisishtaa@gmail.com"
"KMI Kuantan Medical Centre, HD Unit","PRIVATE","MOHD RAMLI BIN SEMAN;","","","",""
"","","","KMI Kuantan Medical CentreJalan Tun RazakBandar Indera Mahkota  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","KMI Kuantan Medical Centre, HD Unit","( 09)5902828  8807","suni.eh.fo@tdmberhad.com.my"
"KPJ Kuantan Dialysis Centre, HD Unit","PRIVATE","ROHANA BINTI ZAKARIA;","","","",""
"","","","KPJ Kuantan Dialysis CentreKuantan Specialist CentreTingkat 4, No. 51, Jalan Alor AkarTaman Kuantan  25250 Kuantan  Pahang Darul Makmur  MALAYSIA","KPJ Kuantan Dialysis Centre, HD Unit","( 09)5678588  8011","-"
"Kuantan Clinical Diagnostic Centre, HD Unit","PRIVATE","TAN YAN MEI;","","","",""
"","","","Kuantan Clinical Diagnostic Centre Sdn. Bhd.No. A37 - A43, Jalan Dato' Lim Hoe Lek  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","Kuantan Clinical Diagnostic Centre, HD Unit","( 09)5139891","acc.kcdc@gmail.com"
"Kuantan Dialysis Centre, HD Unit","PRIVATE","MOHD FAHMI BIN ABDULLAH;","","","",""
"","","","Kuantan Dialysis Centre Sdn BhdNo. A7 & A9, Jalan Sri Kuantan 2Sri Kuantan Square, Off Jalan Teluk Sisek  25000 Kuantan  Pahang Darul Makmur  MALAYSIA","Kuantan Dialysis Centre, HD Unit","( 09)5138177","imran_kdc@outlook.com"
"Nur Iman Dialysis Pahang Sdn Bhd, HD Unit","PRIVATE","WAN AHMAD SYAHRIL ROZLI BIN WAN ALI;","","","",""
"","","","Nur Iman Dialysis Pahang Sdn BhdNo. B-4 & B-6, Ground Floor & B-4 & B-6, Mezzanine Floor,Lorong Mat Kilau 1/2  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Nur Iman Dialysis Pahang Sdn Bhd, HD Unit","012-6377100","nuriman.dialysis@yahoo.com"
"Pahang Buddhist Association, HD Unit","NGO","MOHD KAMIL BIN AHMAD;","","","",""
"","","","Pahang Buddhist Association Haemodialysis CentreLot PT 57339, Jalan Bukit Ubi  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","Pahang Buddhist Association, HD Unit","( 09)5735507","pbahdcentre@gmail.com"
"Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang (Cawangan Gambang), HD Unit","PRIVATE","MOHD SAYUTI BIN ABU BAKAR;","","","",""
"","","","Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang (Cawangan Gambang)No.A-19, No.A-21 & A-23, Ground FloorLorong Seri Fajar 1/1Perumahan Makmur Fajar JayaKM20, Jalan Kuantan-Gambang  26300 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang (Cawangan Gambang), HD Unit","09-5486002","dialisismuip.gambang@gmail.com"
"Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang, HD Unit","PRIVATE","MOHD SAYUTI BIN ABU BAKAR;","","","",""
"","","","Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang(Klinik Al-Amin Sdn Bhd)Perkarangan Masjid Saidina Umar Al-KhattabPerkampungan Cenderawasih  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Majlis Ugama Islam dan Adat Resam Melayu Pahang, HD Unit","( 09)5131379","dialisismuip.ktn@gmail.com"
"Pusat Dialisis Pakar (Kuantan), HD Unit","PRIVATE","CHE ROSLE BIN DERAMAN;","","","",""
"","","","Pusat Dialisis Pakar(Pakar Prima Sdn Bhd)No. B812, Jalan Bukit UbiOff Jalan Sg Lembing  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Pakar (Kuantan), HD Unit","( 09)5132354","pusatdialisispakar@gmail.com"
"Pusat Dialisis Qaseh PKPP, HD Unit","PRIVATE","TENGKU SYED MUHAMMAD NAQUIB BIN TENGKU SYED ABDUL RAHMAN;","","","",""
"","","","No. A49 & A51, Pusat KomersialBatu 3, Jalan Kurnia Jaya 3  25150 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Qaseh PKPP, HD Unit","09-5319866","teqmedtech@gmail.com"
"Pusat Dialisis Yayasan PHIM (Batu 6), HD Unit","NGO","AZRIL SHAHREEZ BIN ABDUL GHANI;","","","",""
"","","","Pusat Dialisis Yayasan PHIM (Batu 6)B2, Tingkat Bawah & Satu, Lorong Seri Damai Perdana 4Batu 6, Jalan Gambang  25150 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Yayasan PHIM (Batu 6), HD Unit","09-5368338","yphim.batu6@gmail.com"
"Pusat Dialisis Yayasan PHIM, HD Unit","NGO","MOHD KAMIL BIN AHMAD;","","","",""
"","","","Pusat Dialisis Yayasan PHIM(Yayasan Pusat Hemodialisis Islam Makmur Pahang [YPHIM])No 168, Tingkat Bawah, Jalan Besar  25000 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Dialisis Yayasan PHIM, HD Unit","( 09)5164709","yayasanphim@gmail.com"
"Pusat Hemodialysis Suria Kuantan, HD Unit","PRIVATE","AHMAD IKHWAN SHAH BIN AKHTAR ALI;","","","",""
"","","","Pusat Hemodialysis Suria KuantanNo. A-16 & A-18, Lorong Lengkok Kanan 22Taman Putih Baru  25150 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialysis Suria Kuantan, HD Unit","( 09)5132746","kuantansuria@yahoo.com"
"Pusat Rawatan Dialisis Fitra (Kuantan), HD Unit","PRIVATE","AZRIL SHAHREEZ BIN ABDUL GHANI;","","","",""
"","","","Pusat Rawatan Dialisis Fitra (Cawangan Kuantan)No. A139, Ground Floor, Lorong Seri Teruntum 8Jalan Wong Ah Jang, Taman Tunas Maju  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Rawatan Dialisis Fitra (Kuantan), HD Unit","( 09)5178909","prd.fitrakuantan@gmail.com"
"Pusat Rawatan Dialisis Fitra (Seri Perdana), HD Unit","PRIVATE","ROHANA BINTI MOHD ZAIN;","","","",""
"","","","Pusat Rawatan Dialisis Fitra (Cawangan Seri Perdana)No, A115 & A117, Ground & 1st FloorLorong IM 16/1, Taman Seri PerdanaBandar Indera Mahkota  25200 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Rawatan Dialisis Fitra (Seri Perdana), HD Unit","( 09)5733909","prdfitra@gmail.com"
"Pusat Rawatan Dialisis NKF-Tun Abdul Razak (Kuantan), HD Unit","NGO","NURUL SYAZWANI BINTI MAT NASIR;","","","",""
"","","","Pusat Rawatan Dialisis NKF-Tun Abdul Razak(National Kidney Foundation)No. 19A-21A, Jalan Sri Kuantan 2Off Jalan Teluk Sisek  25050 Kuantan  Pahang Darul Makmur  MALAYSIA","Pusat Rawatan Dialisis NKF-Tun Abdul Razak (Kuantan), HD Unit","( 09)5141566","tar_nkf@yahoo.com"
"Tengku Ampuan Afzan Hospital (Paed), HD Unit","MOH","SELVA KUMAR A/L SIVAPUNNIAM;","","","",""
"","","","Haemodialysis Unit (Paed)Hospital Tengku Ampuan AfzanJalan Tanah Putih  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital (Paed), HD Unit","( 09)5133333","-"
"Tengku Ampuan Afzan Hospital, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Haemodialysis Unit (Adult)Hospital Tengku Ampuan AfzanJalan Tanah Putih  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital, HD Unit","( 09)5572341","-"
"Tengku Ampuan Afzan Hospital, Tx Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Renal Transplant ClinicKlinik NefrologiHospital Tengku Ampuan Afzan  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital, Tx Unit","( 09)5572471","fairusmohddaud@yahoo.com"
"Tengku Ampuan Afzan Hospital (Paed), MRRB Unit","MOH","SELVA KUMAR A/L SIVAPUNNIAM;","","","",""
"","","","Department of Paeditric Medicinec/o Haemodialysis UnitHospital Tengku Ampuan AfzanJalan Tanah Putih  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital (Paed), MRRB Unit","( 09)5133333",""
"Tengku Ampuan Afzan Hospital, MRRB Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Department of MedicineHospital Tengku Ampuan AfzanJalan Tanah Putih  25100 Kuantan  Pahang Darul Makmur  MALAYSIA","Tengku Ampuan Afzan Hospital, MRRB Unit","( 09)5133333",""
"Maran","","","","","",""
"Pusat Rawatan Dialisis Fitra (Maran), HD Unit","PRIVATE","AZRIL SHAHREEZ BIN ABDUL GHANI;","","","",""
"","","","Pusat Rawatan Dialisis Fitra (Cawangan Maran)(Fitramed Sdn Bhd)No. 13, Lorong Permai 2Taman Bandar Baru Permai  26500 Maran  Pahang Darul Makmur  MALAYSIA","Pusat Rawatan Dialisis Fitra (Maran), HD Unit","( 09)4771909","prdfitra@gmail.com"
"Mentakab","","","","","",""
"Mentakab Haemodialysis Unit, HD Unit","MOH","FARIZ SAFHAN BIN MOHAMAD NOR;","","","",""
"","","","Unit Haemodialysis Mentakab(Hospital Mentakab Lama)Jalan Karak  28400 Mentakab  Pahang Darul Makmur  MALAYSIA","Mentakab Haemodialysis Unit, HD Unit","( 09)2783200","sabrianje@yahoo.com.my"
"Pahang Buddhist Association Haemodialysis Centre (Mentakab), HD Unit","NGO","MUHAMMAD ZAFRI BIN ZAINUDDIN;","","","",""
"","","","Pahang Buddhist Association Haemodialysis Centre (Mentakab)No 17 & 18, Jalan KeruingTaman Rimba  28400 Mentakab  Pahang Darul Makmur  MALAYSIA","Pahang Buddhist Association Haemodialysis Centre (Mentakab), HD Unit","09-2770986","PBAmentakab2018@gmail.com"
"Pusat Hemodialisis Fomema Haemodialysis Mentakab, HD Unit","PRIVATE","NOOR ADIBAH BT ZULKIFLI;","","","",""
"","","","Pusat Hemodialisis Fomema Haemodialysis MentakabNo. 4 & No. 6, Ground Floor Jalan Semantan Indah 1Taman Semantan Indah  28400 Mentakab  Pahang Darul Makmur  MALAYSIA","Pusat Hemodialisis Fomema Haemodialysis Mentakab, HD Unit","010-2413177","fh.mentakab@fomemadialysis.com.my"
