"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Ayer Tawar","","","","","",""
"Pusat Dialisis Mutiara (Ayer Tawar), HD Unit","PRIVATE","MUHAMMAD ELLO BIN MUHAMMAD SUED;","","","",""
"","","","Pusat Dialisis Mutiara Ayer TawarNo. 110, Jalan Seri Sentosa 7Taman Medan Seri Sentosa  32400 Ayer Tawar  Perak Darul Ridzuan  MALAYSIA","Pusat Dialisis Mutiara (Ayer Tawar), HD Unit","( 05)6722685","( 05)6888685"
"Bagan Serai","","","","","",""
"Pertubuhan Perkhidmatan Hemodialisis Nor Kasih Larut Matang dan Selama Perak, HD unit","NGO","NOR SHELINA BINTI RAFI AHMAD;","","","",""
"","","","No 66 & 68 Jalan Raja Syed Thaupy 2, Pusat Bandar Baru  34300 Bagan Serai  Perak Darul Ridzuan  MALAYSIA","Pertubuhan Perkhidmatan Hemodialisis Nor Kasih Larut Matang dan Selama Perak, HD unit","05-7215786","012-5464695"
"Pusat Dialisis Ehsan Perak (Bagan Serai) 2_HD Unit","PRIVATE","HASLINA BINTI HASSAN;","","","",""
"","","","Pusat Dialisis Ehsan Perak (Bagan Serai)No. 24, Jln HarmoniPusat Bandar  34300 Bagan Serai  Perak Darul Ridzuan  MALAYSIA","Pusat Dialisis Ehsan Perak (Bagan Serai) 2_HD Unit","05-7211346","-"
"Batu Gajah","","","","","",""
"Batu Gajah Hospital, HD Unit","MOH","LOH CHEK LOONG;","","","",""
"","","","Haemodialysis UnitHospital Batu GajahJalan Changkat  31000 Batu Gajah  Perak Darul Ridzuan  MALAYSIA","Batu Gajah Hospital, HD Unit","( 05)3663333  290 / 291","( 05)3663851"
"Dahlia Dialysis Centre (Batu Gajah), HD Unit","PRIVATE","SHARINA LIZA BINTI ABDUL RASIT;","","","",""
"","","","Dahlia Dialysis Centre (Batu Gajah)No. 50 & 50A, Jalan Bandar Baharu 2Pusat Bandar Baharu  31000 Batu Gajah  Perak Darul Ridzuan  MALAYSIA","Dahlia Dialysis Centre (Batu Gajah), HD Unit","05-3669900","014-6204650"
"Pusat Dialisis Makmur (Batu Gajah), HD Unit","PRIVATE","MUHAMMAD FAIZ BIN HJ HASSAN BASRI;","","","",""
"","","","Pusat Dialisis Makmur(Fitracare Sdn Bhd)No. 4 & 5, Persiaran Bemban Raya 1Taman Bemban  30100 Batu Gajah  Perak Darul Ridzuan  MALAYSIA","Pusat Dialisis Makmur (Batu Gajah), HD Unit","( 05)3657828","(019)57324799"
"Pusat Rawatan Haemodialisis Wan Nong, HD Unit","PRIVATE","SHARIFAH RADZIAH BT YOB IBRAHIM;","","","",""
