"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Kangar","","","","","",""
"Pusat Dialisis Davita Kangar, HD Unit","PRIVATE","CHEW SHI WEI;","","","",""
"","","","Pusat Dialisis Davita KangarNo.9, 11, 13 dan 15, Lorong DuaWisma Perkumpulan PerempuanJalan Raja Syed Alwi  01000 Kangar  Perlis Indera Kayangan  MALAYSIA","Pusat Dialisis Davita Kangar, HD Unit","04-9760771","cdcka@gmail.com"
"Pusat Dialysis Remedic, HD Unit","PRIVATE","CHEW SHI WEI;","","","",""
"","","","Pusat Dialysis Remedic(Zi-Zip Haemodialysis Sdn Bhd)No. 269 & 271, Jalan Baru Kangar-Alor StarTaman Pengkalan AsamJalan Baru Kangar-Alor Setar  01000 Kangar  Perlis Indera Kayangan  MALAYSIA","Pusat Dialysis Remedic, HD Unit","( 04)9773118","enquiry2@zipzip.com.my"
"Pusat Dialysis Tuanku Syed Putra-NKF, HD Unit","NGO","EASON CHANG;","","","",""
"","","","Pusat Dialysis Tuanku Syed Putra-NKFLot 41, Jalan GagakTaman Bukit KayaJalan Bukit Lagi  01000 Kangar  Perlis Indera Kayangan  MALAYSIA","Pusat Dialysis Tuanku Syed Putra-NKF, HD Unit","( 04)9777411","kgr_nkf@yahoo.com"
"Tuanku Fauziah Hospital, HD Unit","MOH","- Hep B - Hep C","","","",""
"","","","Haemodialysis UnitHospital Tuanku Fauziah  01000 Kangar  Perlis Indera Kayangan  MALAYSIA","Tuanku Fauziah Hospital, HD Unit","( 04)9738000  8060 /8061","-"
"Zaharah Dialysis Center (Kangar), HD Unit","PRIVATE","AHMAD FAKARUDDIN B AHMAD SAMSUDDIN;","","","",""
"","","","Zaharah Dialysis Center Sdn Bhd No. 24, Bangunan Rumah KedaiTaman Aman Fasa 5Jalan Raja Syed Saffi  01000 Kangar  Perlis Indera Kayangan  MALAYSIA","Zaharah Dialysis Center (Kangar), HD Unit","( 04)9767131","-"
"Tuanku Fauziah Hospital, MRRB Unit","MOH","WAN SYAMIR ZHARIF BIN WAN AHMAD KAMAL;","","","",""
"","","","Tuanku Fauziah HospitalJalan Tun Abdul Razak  01000 Kangar  Perlis Indera Kayangan  MALAYSIA","Tuanku Fauziah Hospital, MRRB Unit","04-9738000","htfps@moh.gov.my"
