"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Ayer Itam","","","","","",""
"Kek Lok Si Charitable Hospital, HD Unit","PRIVATE","NEOH KAR KEONG;","","","",""
"","","","Kek Lok Si Charitable HospitalNo.623, Jalan Balik Pulau,  11500 Ayer Itam  Pulau Pinang  MALAYSIA","Kek Lok Si Charitable Hospital, HD Unit","04-2999333  113","Fax:"
"Balik Pulau","","","","","",""
"Balik Pulau Hospital, HD Unit","MOH","","","","",""
"","","","Heamodialyis UnitHospital Balik Pulau  11000 Balik Pulau  Pulau Pinang  MALAYSIA","Balik Pulau Hospital, HD Unit","( 04)8669333  509","Fax:"
"Pusat Dialisis CAT Negeri Pulau Pinang, HD Unit","NGO","CHEN TSE PENG;","","","",""
"","","","Pusat Dialisis CAT Negeri Pulau Pinang(Pertubuhan Komuniti Chest Pualau Pinang)Ground Floor, Kompleks Pasar Awam MPPPDaerah Barat Daya  11000 Balik Pulau  Pulau Pinang  MALAYSIA","Pusat Dialisis CAT Negeri Pulau Pinang, HD Unit","( 04)8662545","Email:"
"Pusat Hemodialisis Balik Pulau, HD Unit","PRIVATE","SRIKANTHAN A/L SARAVANAN;","","","",""
"","","","Pusat Hemodialisis Balik PulauNo.12 & 12A (Ground & 1st Floor)Jalan Sg. Air PutihBandar Air Putih  11000 Balik Pulau  Pulau Pinang  MALAYSIA","Pusat Hemodialisis Balik Pulau, HD Unit","04-8692929","Email:"
"Pusat Hemodialisis Zakat (Balik Pulau), HD Unit","NGO","SHAMSHUL AMRI BIN ZAINUDIN;","","","",""
"","","","Pusat Hemodialisis Balik PulauNo. 20, Lebuh Sri Genting 1Taman Sri Genting  11000 Balik Pulau  Pulau Pinang  MALAYSIA","Pusat Hemodialisis Zakat (Balik Pulau), HD Unit","( 04)8666233","Email:"
"Batu Maung","","","","","",""
"Pusat Dialisis NKF - Fo Yi (Unit I), HD Unit","NGO","LIEW YEW FONG;","","","",""
"","","","Pusat Dialisis NKF-Fo YiNo. 889, Jln Permatang Damar Laut  11960 Batu Maung  Pulau Pinang  MALAYSIA","Pusat Dialisis NKF - Fo Yi (Unit I), HD Unit","(04)6380864","Fax:"
"Bayan Baru","","","","","",""
"Pusat Hemodialisis Bayan Baru, HD Unit","PRIVATE","SRIKANTHAN A/L SARAVANAN;","","","",""
"","","","Pusat Hemodialisis Bayan Baru(Sri Tanjung Medicare (M) Sdn Bhd)No. 1, Lorong Mayang Pasir 5Taman Sri Tunas  11950 Bayan Baru  Pulau Pinang  MALAYSIA","Pusat Hemodialisis Bayan Baru, HD Unit","( 04)6468370","Fax:"
"Bayan Lepas","","","","","",""
