"name","sector","drInCharge","address","addressWithUnit","tel","email","centreDetailTable 24"
"Centres","","","","","","",""
"Beaufort","","","","","","",""
"Beaufort Hospital, HD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","Haemodialysis UnitBeaufort HospitalPeti Surat 40  89807 Beaufort  Sabah  MALAYSIA","Beaufort Hospital, HD Unit","(087)212334  332","Tel (2):",""
"Nobel Dialysis Centre (Beaufort), HD Unit","PRIVATE","PURNAMA BIN JAMIR;","","","","",""
"","","","Nobel Dialysis Centre (Beaufort)48, 49, 50 (Ground Floors), Block GBeaufort Square Avenue 4Jalan Binunuk  89800 Beaufort  Sabah  MALAYSIA","Nobel Dialysis Centre (Beaufort), HD Unit","087-222622","eNRR","Staff Nurse GADIUS BIN MALALAP"
"Beluran","","","","","","",""
"Beluran Hospital, HD Unit","MOH","","","","","",""
"","","","Haemodialysis UnitHospital Beluran Mail Bag 02  90109 Beluran  Sabah  MALAYSIA","Beluran Hospital, HD Unit","(089)511233  184","Tel (2):",""
"keningau","","","","","","",""
"Keningau Hospital, CAPD Unit","MOH","","","","","",""
"","","","Keningau HospitalPeti Surat 11, Jalan Apin-Apin  89007 keningau  Sabah  MALAYSIA","Keningau Hospital, CAPD Unit","08-7313000  1110","Email:","SN LEONG KOK HUEI"
"Keningau Hospital, HD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","Haemodialysis UnitHospital KeningauPeti Surat 11  89007 Keningau  Sabah  MALAYSIA","Keningau Hospital, HD Unit","(087)313000  1110","Fax:","✓"
"RenalTeam Dialysis Centre (Keningau), HD Unit","PRIVATE","DAINNA A. GIMBALU KAMPUN;","","","","",""
"","","","Renalteam Dialysis Centre (Keningau)Lot 29 & 30, Apollo Atrium KeningauJalan Bariawa Laut, Kg Bariawa  89000 Keningau  Sabah  MALAYSIA","RenalTeam Dialysis Centre (Keningau), HD Unit","(087)336773","Email:","✓"
"Kota Belud","","","","","","",""
"Kota Belud Hospital, HD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","Haemodialysis UnitHospital Daerah Kota BeludP. O. Box 159  89158 Kota Belud  Sabah  MALAYSIA","Kota Belud Hospital, HD Unit","(088)976333  248 / 207","Tel (2):",""
"Nobel Dialysis Centre (Kota Belud), HD Unit","PRIVATE","TIONG CHI YEW;","","","","",""
"","","","Nobel Dialysis Centre Kota BeludLot 22-24, Ground Floor, Block D, Kompleks Alapbana  98157 Kota Belud  Sabah  MALAYSIA","Nobel Dialysis Centre (Kota Belud), HD Unit","088-979622","Email:","✓"
"Kota Kinabalu","","","","","","",""
"Hospital Wanita Dan Kanak-kanak Sabah (Paed), CAPD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","CAPD Unit (Paed) c/o Wad Melur 2Hospital Wanita Dan Kanak-Kanak Sabah ((Hospital Likas) Locked Bag Number 187  88996 Kota Kinabalu  Sabah  MALAYSIA","Hospital Wanita Dan Kanak-kanak Sabah (Paed), CAPD Unit","(088)522600  613 / 615","Fax:",""
"Queen Elizabeth Hospital, CAPD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","CAPD UnitHospital Queen ElizabethKarung Berkuci No 2029  88450 Kota Kinabalu  Sabah  MALAYSIA","Queen Elizabeth Hospital, CAPD Unit","(088)517555  7255","Tel (2):",""
"B. Braun Avitum (Kota Kinabalu) Dialysis Centre, HD Unit","PRIVATE","LIEW BOON SENG;","","","","",""
"","","","B. Braun Avitum Dialysis CentreLot 6, Blk C Grd & 1st Floor, Lintas Jaya UptwonshipJalan Lintas, Kepayan Highway  88300 Kota Kinabalu  Sabah  MALAYSIA","B. Braun Avitum (Kota Kinabalu) Dialysis Centre, HD Unit","(088)724754","Email:","✓"
"Gleneagles Kota Kinabalu, HD Unit","PRIVATE","SREETHARAN A/L SIVAPATHA SUNDARAM;","","","","",""
"","","","Gleneagles Kota KinabaluLevel 3A, Dialysis UnitA1, Lorong Riverson @ Sembulan  88100 Kota Kinabalu  Sabah  MALAYSIA","Gleneagles Kota Kinabalu, HD Unit","(088)518958  7137","Tel (2):",""
"Hospital Queen Elizabeth II, HD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","Haemodialysis UnitTingkat 2, Hospital Queen Elizabeth IILorong Bersatu Off Jalan DamaiLuyang  88300 Kota Kinabalu  Sabah  MALAYSIA","Hospital Queen Elizabeth II, HD Unit","(088)324600  2159 /2156","Fax:","✓"
"Hospital Wanita Dan Kanak-kanak Sabah (Paed), HD Unit","MOH","WONG KOH WEI;","","","","",""
"","","","Haemodialysis Unit (Paed)Hospital Wanita Dan Kanak-Kanak Sabah (Hospital Likas)Locked Bag Number 187  88996 Kota Kinabalu  Sabah  MALAYSIA","Hospital Wanita Dan Kanak-kanak Sabah (Paed), HD Unit","(088)522600  714 / 723","Fax:","✓"
