"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Bahagian Betong","","","","","",""
"Klinik Kesihatan Debak, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Unit Hemodialisis Klinik Kesihatan DebakKlinik Kesihatan DebakDaerah Debak  95500 Bahagian Betong  Sarawak  MALAYSIA","Klinik Kesihatan Debak, HD Unit","(083)464570","(083)464570"
"Batu Niah","","","","","",""
"Klinik Kesihatan Batu Niah, HD Unit","MOH","KOH KENG HEE;","","","",""
"","","","Unit HemodialisisKlinik Kesihatan Batu Niah  98200 Batu Niah  Sarawak  MALAYSIA","Klinik Kesihatan Batu Niah, HD Unit","(085)736125","(085)737125"
"Bau","","","","","",""
"Bau Hospital, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Haemodialysis UnitHospital BauBatu 1 1/2, Jalan Bau Lundu  94000 Bau  Sarawak  MALAYSIA","Bau Hospital, HD Unit","(082)763711  232","(082)762804"
"Betong","","","","","",""
"Betong Hospital, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Unit Haemodialysis Hospital BetongPeti Surat 42Bahagian Betong  95707 Betong  Sarawak  MALAYSIA","Betong Hospital, HD Unit","(083)472821  255","(083)472822  255"
"Bintulu","","","","","",""
"Bintulu Hospital, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Haemodialysis UnitHospital BintuluJalan Nyabau  97000 Bintulu  Sarawak  MALAYSIA","Bintulu Hospital, HD Unit","(086)255899  3401 /3407","(086)318004"
"Bintulu Specialist Hospital, HD Unit","PRIVATE","TAN TEIK GUAN;","","","",""
"","","","Haemodialysis UnitBintulu Medical CentreLot 6009, Block 31, Kemena Land District  97000 Bintulu  Sarawak  MALAYSIA","Bintulu Specialist Hospital, HD Unit","(086)330333  210","(086)311077"
"HDU Tatau (Bintulu), HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","HDU TatauHospital Bintulu  97200 Bintulu  Sarawak  MALAYSIA","HDU Tatau (Bintulu), HD Unit","(086)584982","-"
"SJAM-KPS Pusat Hemodialisis Centre 10 (Bintulu), HD Unit","NGO","TAN TEIK GUAN;","","","",""
"","","","SJAM-KPS Pusat Hemodialisis BintuluLot 3066 & 3975, Jalan Tun Ahmad ZaidiParkcity Commerce Square  97000 Bintulu  Sarawak  MALAYSIA","SJAM-KPS Pusat Hemodialisis Centre 10 (Bintulu), HD Unit","(086)310917","011-63235005"
"Bintulu Hospital, Tx Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Renal Transplant Clinic (c/o Haemodialysis Unit)Hospital BintuluJalan Nyabau  97000 Bintulu  Sarawak  MALAYSIA","Bintulu Hospital, Tx Unit","(086)255899  3401 /3407","(086)328004"
"Dalat","","","","","",""
"Dalat Hospital, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Unit HemodialisisDalat Hospital (Fasa 1)Jalan Oya/Dalat  96300 Dalat  Sarawak  MALAYSIA","Dalat Hospital, HD Unit","(084)863213  24","(084)863058"
"Daro","","","","","",""
"Hospital Daerah Daro, HD Unit","MOH","LAWRENCE HII WEI SOON;","","","",""
"","","","Haemodialysis UnitHospital Daerah DaroJalan Itol  96200 Daro  Sarawak  MALAYSIA","Hospital Daerah Daro, HD Unit","(084)823620  220","(084)823622  220"
"Kanowit","","","","","",""
"Kanowit Hospital, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
"","","","Haemodialysis UnitHospital Kanowit  96700 Kanowit  Sarawak  MALAYSIA","Kanowit Hospital, HD Unit","(084)752333  267","(084)7552682"
"Kapit","","","","","",""
"Kapit Hospital, HD Unit","MOH","LAWRENCE HII WEI SOON;","","","",""
"","","","Haemodialysis UnitHospital KapitJalan Mamora  96800 Kapit  Sarawak  MALAYSIA","Kapit Hospital, HD Unit","(084)796333  279","(084)796136"
"Kota Samarahan","","","","","",""
"Pusat Dialisis Cahaya Samarahan, HD Unit","PRIVATE","MOHAMED REDDUAN BIN MOHAMED ATTA;","","","",""
"","","","Pusat Dialisis Cahaya SamarahanSublot 5 (Tingkat Bawah) & Sublot 6 (Tingkat Bawah, Tingkat Satu & Basement)Palm Villa Commercial Centre,Lebuhraya Kuching Samarahan  94300 Kota Samarahan  Sarawak  MALAYSIA","Pusat Dialisis Cahaya Samarahan, HD Unit","013-8378126",""
"Pusat Jantung Hospital Umum Sarawak, HD Unit","MOH","CLARE TAN HUI HONG;","","","",""
