"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Ampang","","","","","",""
"Ampang Hospital, CAPD Unit","MOH","NORAZINIZAH BINTI AHMAD MISWAN;","","","",""
"","","","Ampang Hospital CAPD UnitJalan Mewah Utara,Pandan Mewah  68000 Ampang  Selangor Darul Ehsan  MALAYSIA","Ampang Hospital, CAPD Unit","03-42896000  6206",""
"Ampang Hospital, HD Unit","MOH","NORAZINIZAH BINTI AHMAD MISWAN;","","","",""
"","","","Haemodialysis UnitAmpang HospitalJalan Mewah Utara, Pandan Mewah  68000 Ampang  Selangor Darul Ehsan  MALAYSIA","Ampang Hospital, HD Unit","( 03)42896000  6018",""
"Haemodialysis Yakin Prima Ampang, HD Unit","PRIVATE","AKMAIZANIZAM BIN MUHAMMAD;","","","",""
"","","","Haemodialysis Yakin Prima AmpangNo. G-31, Jalan Pandan Prima 1Dataran Pandan Prima  68000 Ampang  Selangor Darul Ehsan  MALAYSIA","Haemodialysis Yakin Prima Ampang, HD Unit","019-3786765",""
"KPJ Ampang Puteri Specialist Hospital, HD Unit","PRIVATE","PHILIP N. JEREMIAH;","","","",""
"","","","Haemodialysis UnitSuit 1-7,  KPJ Ampang Puteri Specialist HospitalNo. 1, Jalan Mamanda 9,Taman Dato' Ahmad Razali  68000 Ampang  Selangor Darul Ehsan  MALAYSIA","KPJ Ampang Puteri Specialist Hospital, HD Unit","( 03)42702500  1249 /1250","najiah@kpjampang.com"
"Pusat Dialisis Rakyat (Lembah Keramat), HD Unit","PRIVATE","KALAICHELVAN A/L BATUMALAI;","","","",""
"","","","Pusat Dialisis Rakyat Lembah Keramat(Gedung Penawar Sdn. Bhd)Dewan Orang Ramai, Lembah KeramatJalan AU5C/10  54200 Ampang  Selangor Darul Ehsan  MALAYSIA","Pusat Dialisis Rakyat (Lembah Keramat), HD Unit","( 03)41628600","pdmlembahkeramat@gedungpenawar.com"
"Pusat Dialisis Rakyat Ampang, HD Unit","PRIVATE","SUZAIDA BINTI ABDUL WAHAB;","","","",""
"","","","Pusat Dialisis Rakyat AmpangDewan Datuk Tahir Karim, Jalan KempasKampung Melayu Ampang  68000 Ampang  Selangor Darul Ehsan  MALAYSIA","Pusat Dialisis Rakyat Ampang, HD Unit","( 03)42651822","pdmampang@gedungpenawar.com"
"Pusat Hemodialisis Kau Ong Yah Ampang, HD Unit","NGO","LEE WAN TIN;","","","",""
