"name","sector","drInCharge","address","addressWithUnit","tel","email"
"Centres","","","","","",""
"Besut","","","","","",""
"Pusat Rawatan Dialisis Islah (Kampung Raja), HD Unit","PRIVATE","NORKAMALIAH BINTI MOHAMMAD @ MOHAMMAD ZAHARI;","","","",""
"","","","Pusat Rawatan Dialisis Islah (Kampung Raja)Lot 7206 (Tingkat Bawah & Atas)Jalan Besar, Kampung Raja  22200 Besut  Terengganu Darul Iman  MALAYSIA","Pusat Rawatan Dialisis Islah (Kampung Raja), HD Unit","09-6976555","prdi-kgraja@islahdialisis.com"
"Chukai","","","","","",""
"Pusat Dialisis Al-Musoffa Haemodialysis Centre (Balok) Sdn Bhd, HD Unit","PRIVATE","NUR SHAMILAH ASHIKIN BINTI JAMIL;","","","",""
"","","","Pusat Dialisis Al-Musoffa Haemodialysis Centre (Balok) Sdn BhdK 13695, Jalan Kubang KurusTaman Chukai Utama  24000 Chukai  Terengganu Darul Iman  MALAYSIA","Pusat Dialisis Al-Musoffa Haemodialysis Centre (Balok) Sdn Bhd, HD Unit","0123353202","almusoffahaemodialysiskemaman@gmail.com"
"Dungun","","","","","",""
"Dungun Hospital, CAPD Unit","MOH","MUHAMAD AMLI BIN ABDUL RAZAK;","","","",""
"","","","CAPD Unit  / Hemodialysis UnitHospital Dungun  34000 Dungun  Terengganu Darul Iman  MALAYSIA","Dungun Hospital, CAPD Unit","( 09)8483333  261 / 239","dialysis.dungun@moh.gov.my"
"Dungun Hospital, HD Unit","MOH","MUHAMAD AMLI BIN ABDUL RAZAK;","","","",""
"","","","Haemodialysis UnitHospital Dungun  23000 Dungun  Terengganu Darul Iman  MALAYSIA","Dungun Hospital, HD Unit","( 09)8483333  261/ 259","dialysis.dungun@moh.gov.my"
"Hemodialisis Paka, HD Unit","PRIVATE","ZAWAWI BIN NORDIN;","","","",""
"","","","Hemodialisis PakaPT 20697 & PT 20698Gong PakuMukim Kuala Paka  23100 Dungun  Terengganu Darul Iman  MALAYSIA","Hemodialisis Paka, HD Unit","09-8270226","hemodialisispaka@gmail.com"
"Pusat Dialisis Dungun, HD Unit","PRIVATE","NORAIHAN BINTI YA'ACOB;","","","",""
"","","","Pusat Dialisis Dungun(Hembusan Karisma Sdn Bhd)Lot PT15838 & 15839, Pusat Perniagaan Sura JetiMukim Sura  23000 Dungun  Terengganu Darul Iman  MALAYSIA","Pusat Dialisis Dungun, HD Unit","( 09)8485868","pusatdialisisdungun@gmail.com"
"Pusat Dialisis MAIDAM, HD Unit","NGO","","","","",""
"","","","Pusat Dialisis MAIDAM(Persatuan Pesakit Buah Pinggang Terengganu)Lot PT3649, No. 10 Tingkat Bawah, Jalan BaruKampung Pak Sabah  23000 Dungun  Terengganu Darul Iman  MALAYSIA","Pusat Dialisis MAIDAM, HD Unit","( 09)8422350","pdmdungun@yahoo.com.my"
"Pusat Haemodialisis RTC Terengganu, HD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","Pusat Haemodialisis RTC TerengganuNo RTC 8A HemodialisisRTC Jalan BesarBandar Al Muktafi Billah Shah  23400 Dungun  Terengganu Darul Iman  MALAYSIA","Pusat Haemodialisis RTC Terengganu, HD Unit","( 09)8221101",""
"Hulu Terengganu","","","","","",""
"Hulu Terengganu Hospital, CAPD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","CAPD Unit  / Hemodialysis UnitHospital Hulu TerengganuBatu 23, Jalan Kuala Berang  21700 Hulu Terengganu  Terengganu Darul Iman  MALAYSIA","Hulu Terengganu Hospital, CAPD Unit","( 09)6813333  355",""
"Dialisis Ajil, HD Unit","PRIVATE","TENGKU NAZRIN BIN TENGKU JUHAN;","","","",""
"","","","Dialisis AjilNo.36, 37 & 38 Blok EPusat Dagangan Ajil  21700 Hulu Terengganu  Terengganu Darul Iman  MALAYSIA","Dialisis Ajil, HD Unit","09-6861008","pdpajil@gmail.com"
"Hulu Terengganu Hospital, HD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","Haemodialysis UnitHospital Hulu TerengganuBt 23, Jalan Kuala Berang  21700 Hulu Terengganu  Terengganu Darul Iman  MALAYSIA","Hulu Terengganu Hospital, HD Unit","( 09)6813333  355","azhamustafa6767@gmail.com"
"Jerteh","","","","","",""
"MAIDAM Hospital Besut, HD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","Pusat Hemodialisis MAIDAMc/o Hospital Besut  22000 Jerteh  Terengganu Darul Iman  MALAYSIA","MAIDAM Hospital Besut, HD Unit","( 09)6903710",""
"Pusat Rawatan Dialisis Islah (Jerteh), HD Unit","PRIVATE","NORKAMALIAH BINTI MOHAMMAD @ MOHAMMAD ZAHARI;","","","",""
"","","","Pusat Rawatan Dialisis Islah (Cawangan Jerteh)PT 4537 (Ground Floor) & PT 4538 (Gound Floor) & First FloorPadang Landak  22000 Jerteh  Terengganu Darul Iman  MALAYSIA","Pusat Rawatan Dialisis Islah (Jerteh), HD Unit","096973603","prdi_jerteh@islahdialisis.com"
"Jertih","","","","","",""
"Besut Hospital, CAPD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","CAPD Unit  / Hemodialysis UnitHospital Besut  22000 Jertih  Terengganu Darul Iman  MALAYSIA","Besut Hospital, CAPD Unit","( 09)6971200  3051","-"
"Besut Hospital, HD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","Haemodialysis UnitHospital Besut  22000 Jertih  Terengganu Darul Iman  MALAYSIA","Besut Hospital, HD Unit","( 09)6971200  3050","-"
"Dialisis Jertih, HD Unit","PRIVATE","NORKAMALIAH BINTI MOHAMMAD @ MOHAMMAD ZAHARI;","","","",""
"","","","Dialisis JertihPT 3907, Tingkat BawahTaman D'wan PAAJalan Besar, Padang Luas  22000 Jertih  Terengganu Darul Iman  MALAYSIA","Dialisis Jertih, HD Unit","09-6903090","dialisisjertih@gmail.com"
"Kemaman","","","","","",""
"Kemaman Hospital, CAPD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","CAPD Unit  / Hemodialysis UnitHospital KemamanJalan Da Omar, Chukai  24000 Kemaman  Terengganu Darul Iman  MALAYSIA","Kemaman Hospital, CAPD Unit","( 09)8513333  3490",""
"Dialisis Pakar Kemaman, HD Unit","PRIVATE","KHUSNIE ZAIE BIN MOHAMED;","","","",""
"","","","Dialisis Pakar KemamanK60000 (Lot 199), Jalan Sungai BesiBandar Cukai  24000 Kemaman  Terengganu Darul Iman  MALAYSIA","Dialisis Pakar Kemaman, HD Unit","09-8587036","dialisiskemaman@gmail.com"
"Dialisis Pakar Kijal, HD Unit","PRIVATE","KHUSNIE ZAIE BIN MOHAMED;","","","",""
"","","","Dialisis Pakar KijalLot 9773, Tingkat BawahBangunan Rumah Kedai 12 Unit, 3 TingkatBandar Baru Kijal  24100 Kemaman  Terengganu Darul Iman  MALAYSIA","Dialisis Pakar Kijal, HD Unit","014-5669257","kijalpdp@gmail.com"
"Kemaman Hospital, HD Unit","MOH","ZAIHA BINTI HARUN;","","","",""
"","","","Haemodialysis UnitHospital KemamanJalan Da' Omar, Cukai  24000 Kemaman  Terengganu Darul Iman  MALAYSIA","Kemaman Hospital, HD Unit","( 09)8513333  3490","azharihdu@gmail.com"
"Pusat Dialisis NKF-Yayasan Buah Pinggang Kemaman, HD Unit","NGO","ZAWAWI BIN NORDIN;","","","",""
"","","","Pusat Dialisis NKF-Yayasan Buah Pinggang Kemaman(National Kidney Foundation of Malaysia)Blok 6, Pantai Teluk Mak Nik, Chukai  24000 Kemaman  Terengganu Darul Iman  MALAYSIA","Pusat Dialisis NKF-Yayasan Buah Pinggang Kemaman, HD Unit","( 09)8583392","-"
"Pusat Hemodialisis Nabilah, HD Unit","PRIVATE","MASRINA BINTI MALIK;","","","",""
"","","","Pusat Hemodialisis NabilahKCP 20, Tingkat 2, Kemaman Business CentreJalan Lebai Saras, Chukai  24000 Kemaman  Terengganu Darul Iman  MALAYSIA","Pusat Hemodialisis Nabilah, HD Unit","( 09)8595603","-"
"Pusat Rawatan Dialisis H & C, HD Unit","PRIVATE","YUHANIS BINTI KHAIRUDIN;","","","",""
